LocationID,Latitude,Longitude
1,40.68952778,74.17469444
2,,
3,,
4,40.72513889,73.97955556
5,,
6,,
7,40.76444444,73.9235
8,,
9,,
10,40.67375,73.78605556
11,40.60391667,74.00622222
12,40.71158333,74.01580556
13,40.71183333,74.01572222
14,40.63075,74.02811111
15,,
16,,
17,40.68780556,73.93691667
18,,
19,,
20,40.85469444,73.88830556
21,,
22,40.61413889,73.9925
23,40.60738889,74.09638889
24,40.79969444,73.97008333
25,40.68569444,73.98569444
26,,
27,40.56530556,73.88147222
28,40.71030556,73.81588889
29,,
30,,
31,,
32,,
33,40.69569444,73.99475
34,40.69961111,73.97258333
35,,
36,,
37,40.70744444,74.00105556
38,,
39,40.64269444,73.90238889
40,40.68080556,73.99663889
41,40.81466667,73.94422222
42,40.81427778,73.94463889
43,40.7825,73.96563889
44,,
45,40.71552778,73.99655556
46,,
47,40.84988889,73.89547222
48,40.76052778,73.98763889
49,40.68988889,73.96455556
50,40.76311111,73.99388889
51,,
52,40.68741667,73.99575
53,,
54,40.67752778,74.00636111
55,,
56,40.74761111,73.85880556
57,,
58,,
59,,
60,,
61,40.67622222,73.9415
62,40.66586111,73.94252778
63,,
64,,
65,40.69294444,73.98622222
66,40.70361111,73.98208333
67,,
68,40.74813889,74.00025
69,40.83038889,73.92327778
70,40.76405556,73.87744444
71,40.6385,73.92597222
72,40.65280556,73.91997222
73,,
74,40.80388889,73.93627778
75,40.79011111,73.94602778
76,40.659,73.87591667
77,,
78,40.84541667,73.89111111
79,40.72633333,73.98180556
80,40.71369444,73.93319444
81,40.88513889,73.83041667
82,40.73947222,73.87791667
83,,
84,,
85,,
86,,
87,40.71247222,74.00977778
88,40.705,74.01288889
89,40.64144444,73.95941667
90,40.74025,73.9905
91,40.62566667,73.92980556
92,40.75955556,73.83022222
93,40.74016667,73.84175
94,40.85927778,73.89863889
95,40.72177778,73.84488889
96,,
97,40.68919444,73.97405556
98,,
99,,
100,40.75402778,73.99002778
101,,
102,,
103,,
104,,
105,,
106,40.675,73.99144444
107,40.73597222,73.98397222
108,40.59497222,73.97008333
109,40.55425,74.15630556
110,,
111,,
112,40.73041667,73.9515
113,40.73941667,74.00641667
114,40.72766667,73.99822222
115,,
116,40.82525,73.94761111
117,,
118,,
119,,
120,,
121,40.73230556,73.81077778
122,40.71119444,73.7625
123,,
124,,
125,40.72661111,74.00738889
126,,
127,,
128,,
129,40.75575,73.88308333
130,40.70369444,73.79919444
131,40.71791667,73.78380556
132,40.64461111,73.77972222
133,,
134,40.70580556,73.82736111
135,40.72466667,73.82075
136,,
137,40.74255556,73.98036111
138,40.77686111,73.874
139,,
140,40.76888889,73.95058333
141,40.76441667,73.97291667
142,40.77625,73.97613889
143,40.77294444,73.9935
144,40.72305556,73.99488889
145,40.74858333,73.94963889
146,40.75105556,73.94041667
147,,
148,40.71519444,73.98427778
149,40.60691667,73.94794444
150,,
151,40.7985,73.96525
152,40.81708333,73.95586111
153,,
154,,
155,,
156,,
157,,
158,40.73144444,73.99708333
159,40.81869444,73.91855556
160,,
161,40.75222222,73.98758333
162,40.75283333,73.97922222
163,40.75791667,73.98930556
164,40.7465,73.98388889
165,40.6205,73.95997222
166,40.81047222,73.96205556
167,40.82458333,73.91052778
168,,
169,40.84908333,73.90508333
170,40.74788889,73.9755
171,40.76347222,73.80733333
172,,
173,,
174,,
175,,
176,,
177,40.67827778,73.91077778
178,,
179,40.76433333,73.9235
180,,
181,40.67102778,73.98141667
182,,
183,,
184,,
185,,
186,40.74727778,73.98963889
187,,
188,40.65922222,73.95338889
189,40.67725,73.96686111
190,,
191,40.71569444,73.74194444
192,,
193,40.75525,73.94486111
194,40.78908333,73.92719444
195,,
196,40.72533333,73.86258333
197,,
198,40.70441667,73.90183333
199,,
200,40.90975,73.90147222
201,40.57983333,73.83719444
202,40.76180556,73.94980556
203,,
204,,
205,40.6895,73.76438889
206,,
207,,
208,,
209,40.70613889,74.00294444
210,,
211,40.72455556,74.00191667
212,,
213,,
214,,
215,40.68075,73.79216667
216,40.67641667,73.81233333
217,40.70433333,73.95655556
218,40.67163889,73.77980556
219,,
220,,
221,,
222,,
223,40.77469444,73.90383333
224,40.73180556,73.97786111
225,40.68202778,73.93486111
226,40.74316667,73.91966667
227,,
228,40.64925,74.02027778
229,40.76277778,73.95966667
230,40.75922222,73.98461111
231,40.71408333,74.00297222
232,40.71413889,73.99019444
233,40.75330556,73.96669444
234,40.73591667,73.99122222
235,40.85744444,73.90963889
236,40.78466667,73.95416667
237,40.76219444,73.96016667
238,40.80441667,73.96883333
239,40.77075,73.98205556
240,,
241,40.88366667,73.89313889
242,40.8465,73.85988889
243,40.85619444,73.93291667
244,40.83344444,73.94161111
245,,
246,40.75466667,74.00144444
247,40.83172222,73.92275
248,40.84297222,73.88163889
249,40.73466667,74.00475
250,,
251,,
252,,
253,,
254,,
255,40.71036111,73.95197222
256,40.70158333,73.94225
257,,
258,,
259,40.89761111,73.86688889
260,40.75336111,73.90688889
261,40.71266667,74.01341667
262,40.77786111,73.94566667
263,40.77530556,73.95363889
264,,
265,,
